13:54:37 50 docs → 193 segments
20:03:07 [epoch 355/3000] nll=0.0117  best=0.0118  con=0.0239
20:04:09 [epoch 356/3000] nll=0.0119  best=0.0117  con=0.0239
20:05:11 [epoch 357/3000] nll=0.0118  best=0.0117  con=0.0236
20:06:13 [epoch 358/3000] nll=0.0116  best=0.0117  con=0.0238
20:07:15 [epoch 359/3000] nll=0.0120  best=0.0116  con=0.0239
20:08:17 [epoch 360/3000] nll=0.0118  best=0.0116  con=0.0240
20:09:19 [epoch 361/3000] nll=0.0115  best=0.0116  con=0.0240
20:10:21 [epoch 362/3000] nll=0.0114  best=0.0115  con=0.0237
20:11:24 [epoch 363/3000] nll=0.0113  best=0.0114  con=0.0237
20:12:26 [epoch 364/3000] nll=0.0111  best=0.0113  con=0.0238
20:13:28 [epoch 365/3000] nll=0.0112  best=0.0111  con=0.0238
