18:12:02 50 docs → 50 segments
20:17:23 [epoch 344/3000] nll=0.0459  best=0.0459  con=0.5608
20:17:45 [epoch 345/3000] nll=0.0458  best=0.0459  con=0.5595
20:18:07 [epoch 346/3000] nll=0.0458  best=0.0458  con=0.5583
20:18:28 [epoch 347/3000] nll=0.0457  best=0.0458  con=0.5570
20:18:50 [epoch 348/3000] nll=0.0456  best=0.0457  con=0.5558
20:19:12 [epoch 349/3000] nll=0.0457  best=0.0456  con=0.5545
20:19:34 [epoch 350/3000] nll=0.0730  best=0.0456  con=0.5535
20:19:56 [epoch 351/3000] nll=0.0732  best=0.0456  con=0.5525
20:20:17 [epoch 352/3000] nll=0.0687  best=0.0456  con=0.5515
20:20:39 [epoch 353/3000] nll=0.0650  best=0.0456  con=0.5504
20:21:01 [epoch 354/3000] nll=0.0628  best=0.0456  con=0.5497
20:21:23 [epoch 355/3000] nll=0.0630  best=0.0456  con=0.5490
20:21:45 [epoch 356/3000] nll=0.0716  best=0.0456  con=0.5483
20:22:06 [epoch 357/3000] nll=0.0981  best=0.0456  con=0.5489
20:22:28 [epoch 358/3000] nll=0.0871  best=0.0456  con=0.5486
20:22:50 [epoch 359/3000] nll=0.0719  best=0.0456  con=0.5485
20:23:12 [epoch 360/3000] nll=0.0637  best=0.0456  con=0.5483
20:23:33 [epoch 361/3000] nll=0.0642  best=0.0456  con=0.5477
20:23:55 [epoch 362/3000] nll=0.0924  best=0.0456  con=0.5486
20:24:17 [epoch 363/3000] nll=0.0646  best=0.0456  con=0.5475
20:24:39 [epoch 364/3000] nll=0.0565  best=0.0456  con=0.5466
20:25:01 [epoch 365/3000] nll=0.0546  best=0.0456  con=0.5459
